"AGNO";"MRUN";"NOM_COM_ALU";"COD_GRADO";"LET_CUR";"COD_JOR";"GEN_ALU";"FEC_NAC_ALU";"EDAD_ALU";"PROM_GRAL";"ASISTENCIA"
2022;22955774;"SANTIAGO";4;"D";3;1;200503;17;69;99
2022;23957505;"SANTIAGO";4;"D";3;2;200401;18;62;92
2022;24323994;"SANTIAGO";4;"D";3;2;200406;18;66;91
2022;2974487;"ARICA";4;"A";3;2;200209;19;58;27
2022;4387715;"SANTIAGO";4;"A";3;2;200404;18;64;87
2022;8341715;"PUNTA ARENAS";4;"A";3;2;200502;17;63;81
2022;14084255;"BUIN";4;"A";3;2;200408;17;69;86
2022;15197464;"CURACAVÍ";4;"A";3;2;200501;17;69;93
2022;16183117;"SANTIAGO";4;"A";3;2;200504;17;64;80
2022;16676651;"RENCA";4;"A";3;2;200506;17;59;87
2022;20036043;"HUECHURABA";4;"A";3;2;200403;18;63;90
2022;22588517;"CONCEPCIÓN";4;"A";3;2;200408;17;59;86
2022;23508456;"CONCHALÍ";4;"A";3;2;200405;18;63;82
2022;178216;"PEDRO AGUIRRE CERDA";4;"A";3;2;200412;17;66;92
2022;1653226;"CERRO NAVIA";4;"A";3;2;200406;18;64;87
2022;2841831;"SANTIAGO";4;"A";3;2;200406;18;67;95
2022;3813453;"QUINTA NORMAL";4;"A";3;2;200405;18;68;90
2022;6526123;"ESTACIÓN CENTRAL";4;"A";3;2;200403;18;57;92
2022;8952044;"COYHAIQUE";4;"A";3;2;200501;17;68;97
2022;10343126;"SANTIAGO";4;"A";3;2;200501;17;64;97
2022;14026204;"QUINTA NORMAL";4;"A";3;2;200409;17;65;91
2022;15546757;"ESTACIÓN CENTRAL";4;"A";3;2;200404;18;69;94
2022;16688350;"SANTIAGO";4;"A";3;2;200502;17;67;90
2022;16773634;"MULCHÉN";4;"A";3;2;200502;17;66;88
2022;18778923;"LAMPA";4;"A";3;2;200411;17;66;88
2022;21573924;"MAIPÚ";4;"A";3;2;200501;17;62;97
2022;24313308;"SANTIAGO";4;"A";3;2;200504;17;68;97
2022;24419229;"QUINTA NORMAL";4;"A";3;2;200410;17;65;90
2022;24752072;"SANTIAGO";4;"A";3;2;200410;17;69;95
2022;823378;"CERRILLOS";4;"A";3;2;200503;17;68;92
2022;1046704;"SANTIAGO";4;"A";3;2;200503;17;63;88
2022;1153053;"CERRO NAVIA";4;"A";3;2;200410;17;58;80
2022;1830786;"SANTIAGO";4;"A";3;2;200504;17;67;88
2022;2525675;"QUINTA NORMAL";4;"A";3;2;200411;17;59;71
2022;2695915;"QUINTA NORMAL";4;"A";3;2;200503;17;65;92
2022;2858490;"ESTACIÓN CENTRAL";4;"A";3;2;200412;17;57;69
2022;5689152;"ESTACIÓN CENTRAL";4;"A";3;2;200503;17;61;65
2022;6175113;"SAN MIGUEL";4;"A";3;2;200401;18;63;81
2022;6280090;"BUIN";4;"A";3;2;200312;18;59;82
2022;6961075;"QUINTA NORMAL";4;"A";3;2;200406;18;6;99
2022;6970019;"RENCA";4;"A";3;2;200503;17;57;67
2022;8459331;"ESTACIÓN CENTRAL";4;"A";3;2;200502;17;58;84
2022;9024925;"PEDRO AGUIRRE CERDA";4;"A";3;2;200407;17;65;86
2022;9422870;"CALERA DE TANGO";4;"A";3;2;200505;17;67;94
2022;12560826;"LA CISTERNA";4;"A";3;2;200503;17;53;95
2022;12639042;"SANTIAGO";4;"A";3;2;200405;18;63;85
2022;13428222;"CERRILLOS";4;"A";3;2;200411;17;63;96
2022;15076072;"SANTIAGO";4;"A";3;2;200408;17;6;88
2022;15593435;"RENCA";4;"A";3;2;200408;17;55;82
2022;15959302;"SANTIAGO";4;"A";3;2;200503;17;64;89
2022;16064364;"SANTIAGO";4;"A";3;2;200502;17;58;88
2022;18670689;"SAN MIGUEL";4;"A";3;2;200404;18;67;92
2022;19167448;"LAMPA";4;"A";3;2;200503;17;63;82
2022;19450951;"INDEPENDENCIA";4;"A";3;2;200506;17;67;97
2022;20363358;"SANTIAGO";4;"A";3;2;200408;17;64;87
2022;20976841;"LO PRADO";4;"A";3;2;200407;17;66;95
2022;21133511;"MAIPÚ";4;"A";3;2;200411;17;57;82
2022;21266495;"CERRILLOS";4;"A";3;2;200402;18;57;79
2022;21794054;"PUDAHUEL";4;"A";3;2;200407;17;65;94
2022;22080510;"CALERA DE TANGO";4;"A";3;2;200412;17;57;88
2022;23226308;"SANTIAGO";4;"A";3;2;200408;17;63;91
2022;23339029;"PUDAHUEL";4;"A";3;2;200505;17;61;88
2022;23502690;"MAIPÚ";4;"A";3;2;200412;17;52;78
2022;24409236;"SANTIAGO";4;"A";3;2;200411;17;62;86
2022;24456093;"SANTIAGO";4;"A";3;2;200412;17;68;90
2022;24820368;"PUDAHUEL";4;"A";3;2;200504;17;63;87
2022;2418184;"LO PRADO";4;"B";3;2;200504;17;66;100
2022;2669846;"SANTIAGO";4;"B";3;2;200407;17;64;95
2022;2744300;"SANTIAGO";4;"B";3;2;200411;17;69;95
2022;3584649;"HUECHURABA";4;"B";3;2;200409;17;61;94
2022;3658641;"LO PRADO";4;"B";3;2;200410;17;63;92
2022;4301362;"SANTIAGO";4;"B";3;2;200501;17;66;100
2022;4952693;"LO PRADO";4;"B";3;2;200412;17;67;97
2022;5203809;"ESTACIÓN CENTRAL";4;"B";3;2;200407;17;66;96
2022;5865020;"SANTIAGO";4;"B";3;2;200412;17;67;97
2022;5971029;"SANTIAGO";4;"B";3;2;200410;17;62;93
2022;6470965;"SANTIAGO";4;"B";3;2;200411;17;69;88
2022;6496487;"SANTIAGO";4;"B";3;2;200408;17;57;97
2022;6536390;"SANTIAGO";4;"B";3;2;200409;17;66;96
2022;8559873;"CERRILLOS";4;"B";3;2;200407;17;69;95
2022;8702483;"SANTIAGO";4;"B";3;2;200408;17;68;93
2022;8714837;"MAIPÚ";4;"B";3;2;200503;17;66;95
2022;9374730;"CERRILLOS";4;"B";3;2;200407;17;61;94
2022;10822245;"PUDAHUEL";4;"B";3;2;200410;17;68;95
2022;11514818;"SANTIAGO";4;"B";3;2;200408;17;69;95
2022;11789015;"SANTIAGO";4;"B";3;2;200502;17;63;91
2022;12249095;"SANTIAGO";4;"B";3;2;200410;17;57;93
2022;13572899;"SANTIAGO";4;"B";3;2;200408;17;68;97
2022;14165465;"MAIPÚ";4;"B";3;2;200502;17;65;95
2022;14578962;"PUDAHUEL";4;"B";3;2;200409;17;6;90
